vehicle_type,fuel_capacity_liters,current_fuel_liters,avg_mileage_kmpl,daily_travel_km,days_since_last_refill,historical_avg_refill_gap_days,highway_ratio,fuel_exhaustion_days
truck,119.4,26.3,7.9,38.6,3,12,0.78,5.86
sedan,52.8,21.9,18.2,107.3,9,5,0.98,4.1
suv,71.1,35.8,11.4,114.8,4,18,0.31,3.73
hatchback,44.8,39.9,17.3,53.6,4,10,0.82,13.62
truck,112.8,96.8,7.6,58.1,4,5,0.4,14.29
sedan,52.9,51.1,20.9,5.9,22,10,0.79,208.71
motorcycle,17.8,2.9,57.4,27.4,22,3,0.99,7.01
hatchback,32.8,16.9,21.9,22.3,24,7,0.85,19.13
suv,78.4,67.9,8.5,79.8,26,7,0.06,7.52
suv,75.6,19.8,10.6,66.8,19,4,0.81,3.45
hatchback,41.6,6.9,18.6,94.1,8,11,0.61,1.55
suv,60.7,17.8,14.7,10.8,28,5,0.37,25.63
truck,77.1,70.4,10.3,12.4,2,8,0.53,63.72
sedan,46.5,23.8,16.9,57.5,16,3,0.82,8.4
truck,112.7,77.2,8.8,115.5,16,12,0.87,6.75
suv,68.0,11.5,12.3,31.5,28,19,0.53,5.24
motorcycle,14.1,4.5,60.0,13.2,18,12,0.22,22.23
sedan,39.3,38.2,13.4,16.6,10,4,0.57,34.93
sedan,50.6,19.2,21.8,55.0,24,8,0.83,9.89
hatchback,34.0,22.3,23.9,10.6,19,12,0.02,47.92
hatchback,34.8,13.4,17.8,117.6,29,8,0.27,2.14
motorcycle,11.5,7.5,34.7,71.3,14,14,0.04,3.48
sedan,43.4,20.5,19.9,58.8,11,20,0.3,7.19
motorcycle,14.7,6.8,38.7,24.8,4,5,0.3,10.95
hatchback,33.7,8.1,15.4,68.4,19,20,0.68,1.84
hatchback,36.5,3.0,18.5,96.5,6,20,0.22,0.63
sedan,36.3,27.1,14.1,50.2,2,7,0.32,8.87
truck,65.6,41.1,11.4,39.4,24,16,0.77,13.83
suv,75.2,60.9,8.1,26.5,1,18,0.98,22.62
hatchback,33.0,28.6,17.2,118.8,24,9,0.99,4.99
hatchback,41.7,3.9,22.7,77.8,0,17,0.46,1.22
truck,114.9,95.4,11.9,42.3,29,11,0.19,28.59
truck,99.2,6.3,7.2,22.2,20,15,0.66,2.2
motorcycle,10.9,1.8,42.8,113.8,5,7,0.8,0.82
motorcycle,13.1,6.7,30.6,89.4,27,11,0.53,2.66
suv,67.4,53.1,10.4,91.9,5,3,0.9,6.59
suv,61.6,48.2,13.8,11.8,14,8,0.13,52.87
sedan,35.7,19.8,15.9,16.6,4,18,0.92,23.63
motorcycle,17.6,14.7,36.5,35.3,7,16,0.77,17.59
hatchback,43.2,28.0,17.9,54.0,25,20,0.03,9.4
motorcycle,17.0,8.0,46.6,69.1,23,5,0.47,6.25
hatchback,36.8,22.6,23.0,104.6,19,13,0.17,5.03
truck,66.0,49.0,9.9,118.4,7,3,0.14,4.29
motorcycle,17.4,15.1,58.2,28.2,9,6,0.24,30.97
truck,81.5,74.6,9.0,89.9,7,12,0.03,7.53
suv,71.6,16.2,13.8,98.2,6,11,0.57,2.45
suv,79.3,22.4,9.3,11.0,12,20,0.2,20.22
sedan,42.9,8.5,14.9,57.3,17,5,0.84,2.61
motorcycle,19.2,10.2,37.4,51.2,2,16,0.88,9.34
truck,115.9,13.4,11.0,23.3,23,19,0.22,5.8
hatchback,39.0,22.2,17.8,104.3,1,14,0.72,4.23
suv,53.8,24.3,15.1,34.0,16,6,0.85,12.26
suv,68.5,51.7,9.7,87.4,21,12,0.51,6.51
hatchback,39.2,6.8,22.4,112.6,18,18,0.26,1.48
truck,105.3,76.3,6.0,105.9,17,5,0.8,4.51
truck,69.5,12.5,9.6,68.3,9,19,0.78,1.98
motorcycle,10.6,6.0,32.5,101.3,28,11,0.17,2.16
motorcycle,11.2,3.3,39.8,30.1,23,5,0.56,4.86
sedan,48.7,47.0,21.3,70.6,14,5,0.08,15.51
suv,61.0,33.7,12.1,15.9,6,8,0.02,26.22
motorcycle,11.1,9.2,54.9,97.2,4,7,0.79,6.38
truck,100.0,51.9,7.5,89.0,4,7,0.61,5.21
hatchback,41.4,23.0,20.3,112.6,16,4,0.82,5.26
truck,109.2,38.1,6.4,27.8,9,7,0.61,10.51
suv,56.2,9.0,9.0,77.2,22,6,0.02,1.13
truck,101.7,44.3,9.8,64.9,12,19,0.16,6.59
sedan,47.0,23.6,13.9,91.2,12,13,0.38,3.61
suv,62.9,30.3,14.0,93.0,21,8,0.11,4.51
hatchback,37.1,28.1,20.1,16.6,3,19,0.51,37.44
sedan,39.0,16.7,18.1,29.6,13,14,0.93,12.18
suv,55.9,43.0,8.2,48.2,25,14,0.17,7.11
hatchback,34.5,23.0,23.2,51.1,18,12,0.24,9.94
sedan,52.8,51.3,19.9,67.4,20,3,0.15,17.72
sedan,44.8,36.1,18.7,19.6,10,8,0.21,33.1
suv,74.0,46.6,11.7,30.0,21,10,0.85,22.88
motorcycle,15.3,12.8,42.8,12.1,24,3,0.17,45.27
sedan,54.3,29.1,17.5,109.3,16,17,0.3,4.94
sedan,52.3,41.8,21.6,13.3,9,11,0.31,65.26
hatchback,44.3,34.9,20.6,64.5,22,8,0.49,11.16
truck,112.3,45.0,7.3,43.9,14,16,0.04,6.87
suv,75.4,65.3,12.8,71.1,24,10,0.89,14.19
suv,79.9,10.2,14.8,62.5,27,13,0.06,2.45
motorcycle,15.1,13.3,36.4,54.0,1,14,0.36,10.04
motorcycle,16.3,13.3,43.6,99.0,27,20,0.07,5.13
suv,58.6,22.1,13.0,12.5,7,8,0.28,23.28
motorcycle,13.1,7.4,36.5,106.7,26,15,0.44,2.87
hatchback,42.7,26.7,16.9,53.4,25,17,0.97,9.94
suv,79.9,1.3,8.2,99.7,17,16,0.14,0.11
motorcycle,15.9,9.5,59.1,106.6,16,3,0.11,5.76
suv,54.8,35.0,8.4,38.7,1,10,0.85,9.26
truck,64.6,23.6,11.3,18.6,19,14,0.78,17.61
sedan,37.2,34.3,21.3,22.9,9,6,0.99,38.53
suv,64.5,37.3,12.9,95.8,19,12,0.19,5.33
sedan,51.4,32.1,21.9,89.5,20,5,0.74,8.87
motorcycle,11.8,11.4,49.2,102.4,15,7,0.58,6.28
sedan,35.1,2.4,14.0,26.4,0,12,0.26,1.47
suv,64.3,20.0,10.6,34.9,2,18,0.37,6.41
truck,92.8,50.9,11.8,47.2,7,7,0.91,16.34
motorcycle,11.7,9.9,34.5,80.8,20,10,1.0,4.93
suv,67.6,19.3,8.3,99.4,8,18,0.17,1.68
motorcycle,11.5,8.4,59.2,31.8,14,17,0.09,16.03
hatchback,34.0,18.5,22.8,113.6,17,6,0.27,3.44
sedan,54.6,15.5,18.9,34.1,6,14,0.19,9.31
hatchback,35.4,4.4,21.6,73.6,22,16,0.36,1.34
suv,55.1,6.8,15.3,119.7,8,15,0.05,0.86
truck,72.3,22.5,6.4,94.0,28,12,0.84,1.61
motorcycle,10.2,8.4,58.4,8.7,13,5,0.09,62.44
sedan,46.3,9.9,18.5,83.8,22,9,0.04,2.18
motorcycle,10.7,6.4,33.1,7.6,17,17,0.56,29.54
suv,70.0,13.6,12.9,52.4,0,6,0.94,4.11
motorcycle,10.0,9.0,32.0,114.6,0,8,0.38,2.71
sedan,47.2,34.1,19.6,35.2,3,14,0.0,19.03
suv,60.5,15.4,8.5,25.6,23,8,0.91,6.08
motorcycle,15.9,9.1,33.0,41.7,12,17,0.4,7.34
truck,71.3,40.5,9.8,66.2,10,15,0.39,6.32
suv,72.0,54.8,11.4,39.2,11,16,0.09,16.66
suv,51.4,6.6,9.5,63.0,28,19,0.94,1.16
truck,64.4,37.1,8.9,102.7,19,17,0.51,3.72
hatchback,35.2,7.4,14.0,63.5,5,3,0.5,1.81
sedan,39.4,26.0,21.0,14.8,26,11,0.19,35.33
hatchback,43.9,2.4,18.6,41.0,18,8,0.84,1.21
motorcycle,19.8,15.7,56.9,55.5,18,3,0.41,15.76
truck,103.0,12.2,6.9,10.4,1,12,0.83,9.94
hatchback,40.1,14.1,15.7,71.8,26,9,0.73,3.7
suv,63.2,22.1,10.3,29.3,11,17,0.09,7.79
motorcycle,11.9,9.1,39.8,81.8,24,6,0.58,4.92
motorcycle,19.6,1.4,52.2,115.3,29,20,0.33,0.69
hatchback,40.7,13.6,19.4,84.5,12,8,0.77,3.39
hatchback,31.0,19.6,16.4,69.1,13,10,0.88,5.03
truck,74.1,39.9,5.8,68.2,25,16,0.32,3.48
sedan,39.4,38.3,19.3,45.2,20,12,0.52,18.22
hatchback,42.5,26.6,20.3,67.2,1,13,0.02,7.48
hatchback,32.1,22.1,21.5,18.3,0,4,0.13,28.84
suv,70.5,20.5,13.4,111.7,25,6,0.33,2.56
motorcycle,15.7,4.6,49.5,100.7,7,17,0.68,2.53
sedan,38.7,34.7,21.4,94.8,8,12,0.31,8.36
suv,57.4,22.7,8.4,98.1,11,10,0.44,1.96
truck,85.8,43.5,11.3,35.0,26,19,0.02,14.23
truck,103.5,4.6,12.0,105.4,17,7,0.41,0.58
hatchback,41.1,1.1,20.3,72.7,25,6,0.79,0.37
hatchback,38.3,33.0,16.3,97.7,22,4,0.81,6.34
truck,91.8,60.8,5.6,61.8,16,15,0.61,6.32
hatchback,32.8,20.9,15.7,12.3,22,9,0.23,28.17
sedan,44.6,3.0,12.1,118.6,14,6,0.69,0.33
hatchback,36.9,21.3,20.9,93.3,5,14,0.35,5.15
motorcycle,17.9,12.8,36.2,13.2,24,7,0.88,42.23
hatchback,41.3,38.6,16.2,101.2,3,20,0.8,7.6
suv,57.9,19.7,8.9,112.5,12,10,0.52,1.66
sedan,42.8,41.1,15.4,94.5,29,11,0.39,6.91
suv,61.3,1.5,14.1,77.0,17,16,0.46,0.31
suv,74.0,48.3,8.0,34.2,10,15,0.42,11.95
motorcycle,17.5,11.9,47.4,65.9,15,6,0.23,8.45
sedan,43.8,7.7,18.0,33.8,6,12,0.47,4.34
sedan,52.3,36.6,12.1,75.9,13,5,0.78,7.36
sedan,54.8,29.6,18.8,32.3,18,11,0.86,19.66
sedan,43.9,31.6,15.8,111.7,17,10,0.37,4.62
sedan,49.2,11.9,18.6,23.9,3,4,0.55,10.55
motorcycle,16.9,6.1,36.0,103.3,26,15,0.16,2.21
hatchback,33.1,17.3,15.2,112.9,8,6,0.41,2.45
suv,75.7,42.7,14.9,100.6,18,14,0.99,7.44
sedan,43.4,6.6,21.7,118.2,29,7,0.86,1.31
hatchback,33.9,2.5,16.7,11.2,18,3,0.66,3.92
hatchback,43.3,31.3,15.3,113.2,13,5,0.35,4.61
suv,71.9,64.6,8.4,21.3,27,15,0.62,27.72
motorcycle,10.3,4.7,47.5,89.9,20,14,0.4,2.48
truck,87.4,83.4,11.0,21.7,18,13,0.65,46.86
truck,99.3,59.2,5.7,119.4,5,18,0.64,3.16
hatchback,41.6,40.5,17.6,51.6,8,11,0.16,14.95
suv,50.9,46.4,14.6,116.8,22,3,0.46,6.75
truck,74.6,4.8,11.6,26.5,7,10,0.47,2.06
hatchback,37.4,1.7,15.5,48.5,2,4,0.31,0.57
motorcycle,17.5,17.3,60.0,66.4,0,10,0.42,17.51
truck,61.1,3.0,8.4,39.3,3,9,0.79,0.78
hatchback,30.7,26.9,18.2,69.4,21,18,0.9,8.98
hatchback,38.1,22.4,21.1,35.4,28,7,0.67,15.06
sedan,44.9,17.7,13.9,45.9,11,18,0.5,5.62
motorcycle,16.7,16.2,34.3,105.4,16,15,0.59,6.52
sedan,49.5,19.5,15.2,103.1,6,19,0.18,3.24
suv,50.5,11.4,12.1,66.9,25,11,0.9,2.41
sedan,35.5,4.1,14.9,116.8,13,15,0.06,0.53
sedan,52.7,25.9,19.0,11.0,6,20,0.3,45.57
truck,60.0,28.5,8.4,104.3,0,19,0.76,2.44
hatchback,32.5,20.9,14.9,113.9,16,7,0.23,3.0
motorcycle,15.0,7.6,33.3,69.4,22,11,0.49,4.18
sedan,53.7,1.1,20.9,40.8,8,3,0.23,0.56
motorcycle,19.1,17.3,33.1,21.4,20,18,0.4,27.93
sedan,38.4,20.1,16.2,30.2,13,16,0.21,10.51
suv,78.7,62.3,13.8,26.4,3,13,0.83,35.84
sedan,38.3,33.5,14.7,14.3,4,15,0.65,38.36
truck,119.6,81.5,10.1,29.5,17,4,0.28,28.54
hatchback,33.7,8.7,15.9,71.1,29,3,0.1,2.11
suv,73.2,68.7,9.1,48.2,9,8,0.86,15.18
sedan,44.8,2.2,19.1,49.7,16,6,0.89,0.96
motorcycle,12.6,4.9,33.2,85.2,16,4,0.93,2.17
suv,56.5,15.2,10.4,93.4,6,3,0.82,1.85
suv,57.9,43.4,15.8,73.4,4,18,0.97,11.41
sedan,44.5,35.7,13.3,50.5,20,18,0.29,10.06
suv,50.3,16.4,9.4,72.7,21,6,0.49,2.3
motorcycle,16.5,2.9,35.3,33.4,28,18,0.4,3.07
suv,64.7,5.7,8.3,58.9,29,3,0.52,0.91
motorcycle,15.6,10.8,42.9,18.3,26,5,0.13,23.64
sedan,38.2,16.9,13.3,85.4,20,18,0.53,2.92
hatchback,32.2,5.4,19.8,118.3,20,11,0.87,0.93
suv,59.3,18.3,10.4,106.8,22,10,0.67,2.09
hatchback,42.0,11.5,20.2,57.9,21,10,0.31,4.44
motorcycle,14.0,1.9,45.5,44.8,7,5,0.49,2.15
suv,64.0,42.2,8.8,34.2,21,18,0.67,12.98
truck,110.4,33.0,11.5,68.6,0,5,0.6,6.43
hatchback,31.8,30.7,15.2,34.3,26,20,0.62,15.33
suv,61.3,56.6,8.3,103.5,18,3,0.85,5.64
hatchback,32.1,19.0,22.9,59.5,4,8,0.8,8.6
suv,63.4,11.8,8.4,33.3,17,12,0.42,3.26
sedan,54.3,40.2,12.6,90.6,13,18,0.21,5.51
hatchback,43.1,15.2,20.2,37.9,24,20,0.78,9.89
truck,74.6,70.8,7.5,80.0,17,16,0.02,6.62
truck,71.4,60.9,9.9,15.0,0,10,0.71,46.67
motorcycle,10.8,4.9,49.4,45.3,22,13,0.58,6.19
suv,78.9,73.5,14.1,64.8,27,5,0.55,18.57
hatchback,41.5,37.3,21.9,27.5,21,17,0.33,30.27
motorcycle,19.6,8.1,30.3,37.6,13,3,0.1,6.33
hatchback,31.2,18.9,15.9,46.5,2,6,0.92,6.68
suv,72.5,6.2,8.7,80.0,22,10,0.79,0.78
truck,115.0,45.3,9.2,62.6,2,20,0.83,7.68
sedan,50.5,14.1,14.1,113.6,6,4,0.82,2.08
truck,76.6,27.5,6.5,72.3,28,12,0.66,2.78
motorcycle,18.1,16.2,37.3,71.1,5,11,0.29,8.59
sedan,43.2,23.1,13.3,8.0,28,11,0.19,38.68
motorcycle,11.9,10.9,30.6,80.1,4,15,0.55,4.57
suv,56.0,2.1,12.5,58.5,24,19,0.15,0.46
sedan,52.8,24.3,17.5,108.1,17,13,0.32,4.23
motorcycle,18.0,4.6,46.4,25.7,1,17,0.93,10.03
suv,67.8,9.1,10.6,69.7,7,3,0.8,1.53
truck,118.3,26.2,6.3,57.3,28,15,0.28,3.04
suv,78.7,31.4,11.4,116.4,11,16,0.72,3.45
hatchback,38.4,37.5,20.9,107.9,13,15,0.74,7.92
suv,73.5,22.5,12.5,33.7,10,16,0.3,8.37
suv,64.6,27.8,8.8,112.9,21,15,0.35,2.33
hatchback,35.6,23.4,17.6,82.5,7,9,0.69,5.63
motorcycle,11.1,7.6,38.4,8.3,16,16,0.43,41.73
motorcycle,13.1,4.8,31.8,84.0,3,5,0.35,1.91
suv,71.2,38.7,11.8,63.8,29,18,0.66,7.8
hatchback,32.3,21.0,22.7,52.1,8,6,0.32,9.53
hatchback,42.6,35.6,20.7,81.6,16,4,0.68,10.11
truck,116.7,2.6,7.4,20.2,23,14,0.03,0.99
motorcycle,16.7,13.8,58.0,105.8,12,9,0.26,7.85
sedan,52.5,18.9,17.6,54.8,2,9,0.93,6.98
motorcycle,18.7,1.3,33.9,62.1,3,13,0.71,0.82
motorcycle,16.2,4.6,46.3,30.6,16,14,0.77,7.75
truck,108.7,88.6,9.5,57.7,13,15,0.02,15.12
sedan,42.8,6.0,12.8,23.0,24,13,0.49,3.6
truck,102.1,100.7,8.1,64.6,26,9,0.54,13.81
sedan,35.0,4.3,13.0,86.1,26,7,0.89,0.76
suv,77.9,76.0,15.5,36.3,7,15,0.47,34.93
sedan,36.9,16.8,18.8,25.2,9,14,0.1,13.09
truck,111.3,53.9,10.8,99.0,7,14,0.3,6.19
motorcycle,18.3,9.2,54.9,88.9,22,13,0.83,6.35
sedan,42.2,19.7,12.3,49.4,12,14,0.36,5.11
sedan,38.7,19.4,20.0,70.4,3,9,0.69,6.09
hatchback,40.0,18.5,20.9,13.0,16,15,0.78,35.75
motorcycle,10.1,3.0,32.0,94.7,18,18,0.81,1.14
suv,50.1,25.6,13.6,22.9,21,20,0.18,17.43
truck,68.8,13.6,6.4,32.5,11,11,0.4,2.84
suv,69.6,31.0,14.2,87.7,19,6,0.71,5.7
motorcycle,18.1,17.4,41.1,101.7,29,19,0.41,7.46
sedan,42.4,13.3,13.5,20.9,20,14,0.11,8.43
sedan,54.2,31.8,21.9,47.8,25,17,0.32,14.68
motorcycle,11.8,2.5,58.4,118.5,23,12,0.15,1.19
sedan,42.3,6.3,16.6,36.2,10,10,0.8,3.3
sedan,40.2,23.8,16.4,7.5,18,11,0.79,63.0
sedan,36.5,17.4,21.9,93.5,27,7,0.71,4.74
truck,105.6,55.7,11.5,99.9,1,13,0.45,6.51
truck,99.7,55.4,6.4,44.1,15,11,0.92,9.5
hatchback,43.8,13.3,21.4,94.2,19,18,0.09,3.09
suv,65.8,61.1,8.3,93.9,3,14,0.3,6.38
motorcycle,19.0,11.7,36.2,35.1,10,20,0.12,12.5
motorcycle,14.1,10.5,33.3,75.1,20,18,0.06,4.58
motorcycle,15.4,2.2,54.8,77.7,6,11,0.13,1.59
hatchback,39.5,8.1,14.1,44.6,5,14,0.18,2.41
truck,89.5,31.0,8.2,45.0,13,11,0.35,5.9
hatchback,39.8,14.2,17.2,53.8,29,12,0.35,5.28
motorcycle,14.0,12.6,44.9,67.6,13,17,0.89,9.81
suv,79.1,30.1,11.0,27.4,8,16,0.04,11.4
sedan,55.0,20.7,12.6,103.0,17,18,0.34,2.78
truck,95.1,21.2,11.2,119.2,9,8,0.52,2.17
truck,101.5,8.8,10.6,21.0,27,19,0.56,4.93
hatchback,31.1,13.2,14.4,101.0,13,7,0.33,1.99
truck,112.2,84.0,6.5,13.3,8,7,0.39,43.55
motorcycle,13.5,6.6,52.5,108.8,0,5,0.28,3.62
motorcycle,16.9,15.4,58.8,8.0,16,13,0.32,118.35
hatchback,30.9,12.3,22.6,30.4,10,5,0.91,11.01
motorcycle,19.4,1.2,51.8,40.6,11,11,0.5,1.59
suv,60.8,50.4,11.6,65.2,6,19,0.06,8.31
hatchback,37.3,29.1,15.5,75.3,12,7,0.33,6.46
suv,58.3,28.1,14.8,43.6,18,7,0.68,11.18
sedan,50.1,9.5,17.7,109.9,1,15,0.66,1.73
suv,63.3,35.4,8.9,51.2,23,12,0.76,7.2
sedan,47.0,17.0,13.9,45.0,2,9,0.26,4.99
sedan,50.3,44.6,19.0,44.3,21,10,0.17,18.55
suv,54.9,8.0,9.4,28.3,13,13,0.64,2.99
hatchback,42.9,6.6,22.5,73.2,7,12,0.88,2.32
motorcycle,16.8,11.4,36.4,18.4,0,10,0.16,22.86
motorcycle,12.7,10.0,55.6,94.6,5,9,0.71,6.64
sedan,42.8,36.2,18.8,85.2,19,15,0.02,7.9
sedan,46.8,32.1,13.4,56.0,1,3,0.06,8.02
hatchback,42.5,2.9,20.5,41.1,5,17,0.19,1.56
truck,71.1,20.2,7.9,85.4,13,19,0.53,2.24
suv,73.1,55.6,12.9,95.5,7,7,0.49,7.8
sedan,41.0,39.0,13.2,44.8,11,10,0.72,14.33
motorcycle,10.3,1.2,45.5,60.7,11,11,0.79,1.06
hatchback,32.1,17.7,15.5,68.6,5,4,0.5,3.96
suv,76.3,9.2,14.3,24.6,15,15,0.19,5.41
hatchback,43.1,23.1,14.2,87.4,23,12,0.79,4.66
suv,55.0,19.7,14.1,114.7,1,9,0.83,2.89
suv,69.7,14.2,10.4,20.2,6,9,0.2,7.4
sedan,47.9,47.6,12.1,67.2,5,7,0.67,9.02
hatchback,36.0,29.3,23.7,78.1,12,13,0.53,9.51
hatchback,39.4,38.9,18.4,12.6,10,4,0.79,66.54
motorcycle,13.5,5.7,48.3,36.5,19,16,0.15,7.75
motorcycle,11.1,6.4,46.7,17.3,20,11,0.68,19.27
sedan,36.2,32.3,20.7,46.1,16,11,0.59,16.24
sedan,51.1,22.4,13.1,54.9,20,17,0.84,5.74
truck,89.5,78.2,7.1,23.3,29,18,0.76,29.74
motorcycle,15.0,4.8,50.3,9.4,26,7,0.98,35.28
suv,71.4,35.1,9.8,66.8,8,12,0.41,5.69
hatchback,40.2,39.3,22.3,80.8,16,6,0.96,12.99
sedan,42.7,6.6,15.9,113.4,12,12,0.52,1.04
hatchback,38.1,12.5,18.5,87.2,19,13,0.54,3.06
hatchback,33.4,7.1,20.2,94.6,27,20,0.23,1.57
truck,62.3,38.9,5.9,44.5,23,16,0.13,5.5
motorcycle,12.9,10.0,36.6,62.3,24,14,0.31,6.17
sedan,40.6,16.6,13.3,63.4,25,11,0.8,4.27
hatchback,42.2,18.6,21.0,55.0,10,5,0.17,6.31
sedan,41.8,10.1,15.6,31.5,15,7,0.8,5.63
suv,79.7,47.7,11.2,101.1,18,20,0.35,5.99
truck,113.6,57.5,9.5,29.1,6,11,0.86,21.45
suv,59.5,9.8,10.3,31.8,15,20,0.74,3.4
sedan,41.3,31.8,12.2,65.6,25,9,0.77,6.72
sedan,53.6,37.1,12.3,99.2,24,6,0.07,4.68
motorcycle,19.4,10.1,32.6,104.9,11,5,0.2,3.34
hatchback,31.1,15.5,23.0,26.6,11,12,0.4,13.24
hatchback,38.8,35.7,17.9,13.0,21,6,0.19,50.51
suv,58.8,32.5,10.2,68.4,13,17,0.29,5.15
truck,115.4,38.3,10.5,33.3,16,15,0.67,14.76
hatchback,31.0,8.5,19.7,7.1,9,18,0.54,28.52
motorcycle,15.8,14.5,41.6,111.6,2,20,0.77,6.11
suv,72.8,35.8,9.6,19.3,14,18,0.14,19.27
suv,79.9,4.9,11.5,57.0,12,14,0.57,1.12
motorcycle,13.3,8.3,51.5,107.2,18,8,0.61,4.36
truck,83.3,42.4,10.4,105.9,27,10,0.38,4.4
motorcycle,13.3,6.1,48.1,120.0,14,19,0.21,2.74
truck,69.8,3.9,8.9,67.6,4,15,0.7,0.56
motorcycle,13.4,13.3,41.2,92.5,11,11,0.79,7.16
motorcycle,17.7,12.2,55.6,113.0,7,13,0.2,6.26
sedan,46.3,3.0,20.0,50.6,27,15,0.2,1.23
suv,77.6,34.8,13.9,67.9,26,3,0.2,7.4
motorcycle,18.7,16.0,45.3,86.3,22,3,0.69,9.72
motorcycle,12.7,10.7,32.5,93.9,5,10,0.31,4.1
hatchback,33.5,30.8,18.1,82.9,26,6,0.68,7.14
suv,77.1,18.6,8.7,11.4,8,13,0.97,17.86
hatchback,30.1,6.5,20.9,12.6,1,3,0.66,11.53
suv,73.0,33.7,13.0,67.1,18,16,0.74,7.91
hatchback,32.3,1.4,15.1,46.8,4,20,0.8,0.52
motorcycle,17.5,12.5,44.6,47.0,6,6,0.5,13.2
motorcycle,13.5,3.8,38.3,25.7,17,18,0.17,5.71
sedan,52.7,30.6,20.7,59.5,29,20,0.55,11.73
hatchback,38.5,23.7,17.7,13.8,25,17,0.94,34.22
truck,117.3,100.6,10.9,16.3,14,9,0.4,74.09
sedan,39.5,21.3,13.3,59.6,16,8,0.45,5.07
hatchback,31.0,15.5,18.7,35.1,28,7,0.89,9.8
hatchback,38.5,2.3,19.1,75.1,16,4,0.95,0.68
sedan,39.1,28.1,19.4,62.3,13,16,0.97,11.18
motorcycle,16.6,7.3,39.5,112.4,1,4,0.11,2.45
hatchback,31.8,29.4,14.8,84.2,16,7,0.04,5.17
motorcycle,10.8,6.8,49.4,47.9,18,14,0.49,7.48
sedan,43.6,18.3,16.3,116.3,12,10,0.73,2.82
motorcycle,14.8,11.4,41.3,105.0,24,8,0.35,4.71
suv,79.9,39.1,14.4,97.6,25,18,0.27,6.19
truck,93.6,16.4,7.0,65.0,25,11,0.21,1.98
hatchback,31.3,5.7,21.7,87.7,2,13,0.24,1.43
truck,109.1,99.7,6.4,67.4,21,6,0.02,8.85
motorcycle,14.1,4.0,34.7,75.8,22,5,0.55,2.1
hatchback,34.2,27.8,16.1,38.7,3,12,0.41,12.28
motorcycle,18.7,17.6,59.8,115.3,23,14,0.05,9.03
suv,74.9,67.0,9.5,76.3,20,10,0.1,8.11
sedan,44.2,17.2,17.8,55.4,4,15,0.42,5.81
hatchback,31.0,25.3,23.5,46.7,19,18,0.33,14.71
suv,67.5,22.1,12.9,116.2,1,17,0.18,2.61
suv,70.1,58.5,12.6,58.6,24,14,0.16,13.73
hatchback,31.1,23.2,22.0,52.1,19,5,0.95,11.6
motorcycle,17.8,11.5,34.6,46.0,8,12,0.3,9.25
suv,68.5,26.3,11.2,67.1,13,3,0.4,4.85
truck,80.7,52.7,7.7,107.8,9,17,0.79,4.36
suv,77.0,17.6,13.0,50.1,24,18,0.48,4.87
motorcycle,16.5,2.2,48.1,112.1,15,20,0.07,0.9
motorcycle,19.9,14.2,34.9,6.4,16,6,0.84,92.68
truck,107.0,80.1,5.4,107.6,17,19,0.55,4.79
suv,69.3,12.5,15.8,61.1,1,19,0.19,3.35
motorcycle,13.3,10.4,30.5,54.7,28,14,0.34,6.46
hatchback,35.1,2.1,15.5,21.3,20,17,0.4,1.53
sedan,47.4,1.6,16.9,79.1,11,8,0.53,0.39
sedan,39.3,24.9,17.1,66.3,22,6,0.14,6.56
sedan,43.0,8.8,18.2,83.1,14,17,0.64,2.17
suv,61.9,26.8,15.4,30.0,10,11,0.71,15.88
truck,95.1,85.9,10.8,87.4,21,10,0.37,11.64
motorcycle,16.3,9.0,39.6,21.6,17,17,0.29,17.0
hatchback,41.8,20.9,16.2,18.4,1,13,0.79,19.82
hatchback,39.8,10.0,18.4,103.4,10,8,0.31,1.92
suv,76.5,24.2,13.5,91.6,22,17,0.4,4.16
sedan,44.7,16.5,15.2,83.9,17,15,0.09,2.87
suv,52.3,35.1,15.3,58.0,16,5,0.88,11.1
truck,64.0,55.7,7.7,47.0,26,18,0.02,9.13
truck,90.9,54.7,8.2,44.2,21,5,0.44,11.08
motorcycle,13.6,8.1,37.1,118.7,21,3,0.19,2.78
motorcycle,10.2,7.3,46.4,24.5,0,10,0.37,14.8
truck,77.6,64.4,9.5,108.3,17,3,0.74,6.67
truck,64.2,33.1,5.6,89.6,27,15,0.18,2.28
truck,96.4,21.2,9.3,88.1,1,10,0.82,2.77
suv,65.0,13.2,12.4,51.9,22,15,0.81,3.46
truck,84.5,3.2,5.4,103.5,16,17,0.69,0.2
hatchback,39.9,33.8,21.7,48.6,29,13,0.19,15.53
sedan,40.8,32.0,20.9,88.3,10,19,0.09,7.65
truck,87.8,53.9,5.0,118.8,2,20,0.9,2.61
sedan,50.8,12.4,15.9,35.9,27,8,0.09,5.78
suv,52.8,14.6,15.2,37.7,6,8,0.99,7.14
sedan,40.7,28.7,18.0,61.2,22,5,0.37,9.12
suv,72.6,18.4,9.3,50.3,0,17,0.06,3.49
hatchback,35.2,28.5,23.2,108.1,22,9,0.91,6.69
suv,73.9,16.6,10.1,31.8,3,5,0.32,5.65
suv,54.6,25.3,15.0,70.6,4,5,0.2,5.67
motorcycle,14.6,10.0,53.8,91.4,9,11,0.4,5.98
truck,72.4,40.3,5.8,38.2,20,4,0.4,6.98
